dataset,parent,child,type,model,justification
CellOntology_SUB,mucus secreting cell,seromucus secreting cell,is_a,google/gemma-4-31b-it,"A seromucous cell is a specialized secretory cell that produces both serous and mucous secretions, making it a specific subtype of mucus-secreting cell."
CellOntology_SUB,nucleate cell,duct epithelial cell,is_a,google/gemma-4-31b-it,"A duct epithelial cell is a type of eukaryotic cell that possesses a nucleus, making it a specific instance of the broader category of nucleate cells."
CellOntology_SUB,nucleate cell,secretory epithelial cell,is_a,google/gemma-4-31b-it,"A secretory epithelial cell is a type of eukaryotic cell, and all eukaryotic cells (including epithelial cells) possess a nucleus, making them instances of nucleate cells."
CellOntology_SUB,nucleate cell,germline-derived nurse cell,is_a,google/gemma-4-31b-it,"A germline-derived nurse cell is a specific type of cell that contains a nucleus, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,nucleate cell,autonomic neuron,is_a,google/gemma-4-31b-it,"An autonomic neuron is a type of cell that possesses a nucleus, meaning every instance of an autonomic neuron is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,brain macroglial cell,is_a,google/gemma-4-31b-it,"A brain macroglial cell is a type of cell that possesses a nucleus, and therefore every instance of a brain macroglial cell is also an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,male germ cell,is_a,google/gemma-4-31b-it,"A male germ cell is a type of cell that contains a nucleus, meaning every instance of a male germ cell is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,stem cell,is_a,google/gemma-4-31b-it,"A stem cell is a type of cell that possesses a nucleus, meaning every instance of a stem cell is also an instance of a nucleate cell."
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",sensory epithelial cell,is_a,google/gemma-4-31b-it,"Sensory epithelial cells (such as taste receptor cells or olfactory receptor cells) are specialized cells that generate electrical signals (receptor potentials) in response to stimuli, making them a specific type of electrically active cell."
CellOntology_SUB,nucleate cell,mucus secreting cell,is_a,google/gemma-4-31b-it,"A mucus secreting cell is a type of cell that possesses a nucleus, meaning every instance of a mucus secreting cell is also an instance of a nucleate cell."
CellOntology_SUB,mononuclear leukocyte,professional antigen presenting cell,is_a,google/gemma-4-31b-it,"Professional antigen-presenting cells (such as dendritic cells, macrophages, and B cells) are a functional subset of leukocytes, and those that are mononuclear (like dendritic cells and B cells) are indeed types of mononuclear leukocytes."
SemEvalFood_SUB,fare,groats,is_a,google/gemma-4-31b-it,"'Fare' is a general term for food or a range of food provided, and since 'groats' are a type of food, every instance of groats is a type of fare."
SemEvalFood_SUB,"dessert (dessert, sweet)",sugar water,other_related,google/gemma-4-31b-it,"Sugar water is a liquid mixture that may be used as an ingredient or a simple sweet treat, but it is not a type of dessert in the way that cake or jelly is."
SemEvalFood_SUB,spread,mayonnaise,is_a,google/gemma-4-31b-it,"Mayonnaise is a type of spread, as it is a food product specifically used for spreading on bread or other surfaces."
SemEvalFood_SUB,fare,hard candy,is_a,google/gemma-4-31b-it,"'Fare' is a formal or literary synonym for food, and since hard candy is a type of food, it is also a type of fare."
SemEvalFood_SUB,dainty,tiramisu,is_a,google/gemma-4-31b-it,"A 'dainty' is a small, delicate food item or sweet, and since tiramisu is a type of dessert/sweet, it fits the definition of a dainty."
SemEvalFood_SUB,spread,green mayonnaise,is_a,google/gemma-4-31b-it,"Green mayonnaise is a specific type of spread, as any instance of green mayonnaise functions as and fits the definition of a spread."
SemEvalFood_SUB,fodder,corn,other_related,google/gemma-4-31b-it,"Corn is a type of grain that can be used as fodder, but not all corn is fodder (as it is also human food), and not all fodder is corn."
SemEvalFood_SUB,fare,bread,is_a,google/gemma-4-31b-it,"'Fare' is a synonym for food or a range of food provided, and since bread is a type of food, it is a kind of fare."
SemEvalFood_SUB,antipasto,gazpacho,other_related,google/gemma-4-31b-it,"Gazpacho is a type of soup that can be served as an antipasto (appetizer), but not every gazpacho is an antipasto, nor is every antipasto a gazpacho."
SemEvalFood_SUB,sauce,relish,is_a,google/gemma-4-31b-it,"A relish is a specific type of chunky condiment or sauce, meaning every relish is a sauce, but not every sauce is a relish."
SemEvalFood_SUB,fare,flatbrod,is_a,google/gemma-4-31b-it,"'Fare' is a general term for food or a range of food provided, and since 'flatbrod' is a type of food, every instance of flatbrod is a type of fare."
SemEvalFood_SUB,spread,dressing,other_related,google/gemma-4-31b-it,"While some dressings may be used as spreads, a dressing is fundamentally a sauce for salads or meats, whereas a spread is specifically designed for application to bread or crackers; neither is a subset of the other."
SemEvalFood_SUB,crudites,garlic,other_related,google/gemma-4-31b-it,"Garlic is an ingredient that can be served as part of a crudités platter, but it is not a type of crudité (which typically refers to raw vegetables served as an appetizer)."
SemEvalFood_SUB,fare,scampi,is_a,google/gemma-4-31b-it,"'Fare' is a formal or literary synonym for 'food', and since 'scampi' is a kind of food, it is also a kind of fare."
SemEvalFood_SUB,fare,mayonnaise,is_a,google/gemma-4-31b-it,"'Fare' is a general term for food or a range of food provided, and since mayonnaise is a type of food, it is a specific kind of fare."
SemEvalFood_SUB,spread,sauce,other_related,google/gemma-4-31b-it,"While some sauces can be used as spreads, not every sauce is a spread (e.g., a thin soy sauce or a pasta sauce), and not every spread is a sauce, making them sibling categories under 'condiment' rather than having a subsumption relationship."
SemEvalFood_SUB,fare,mashed potato,is_a,google/gemma-4-31b-it,"'Fare' is a synonym for food or a range of food provided, and since mashed potato is a type of food, it is a proper subsumption."
SemEvalFood_SUB,fare,moo goo gai pan,is_a,google/gemma-4-31b-it,"'Fare' is a formal or archaic synonym for food or a range of food, and since 'moo goo gai pan' is a type of food, it is also a type of fare."
SemEvalFood_SUB,sauce,taco sauce,is_a,google/gemma-4-31b-it,"Taco sauce is a specific type of sauce, meaning every instance of taco sauce is necessarily an instance of sauce."
SemEvalFood_SUB,fare,french bread,is_a,google/gemma-4-31b-it,"'Fare' is a synonym or broad term for food/diet, and since french bread is a type of food, it is a specific kind of fare."
SemEvalFood_SUB,fodder,potato,other_related,google/gemma-4-31b-it,"While potatoes can be used as animal feed, not every potato is fodder, and fodder is a functional category of feed rather than a taxonomic class that encompasses all potatoes."
SemEvalFood_SUB,sauce,steak sauce,is_a,google/gemma-4-31b-it,"Every steak sauce is, by definition, a type of sauce."
SemEvalFood_SUB,spread,crabapple jelly,is_a,google/gemma-4-31b-it,"Crabapple jelly is a specific type of spread, as every instance of crabapple jelly fits the definition of a spread."
SemEvalFood_SUB,fare,ravigote,is_a,google/gemma-4-31b-it,"'Ravigote' is a specific type of sauce, and 'fare' is a general term for food or a range of food, meaning every instance of ravigote is a type of fare."
SemEvalFood_SUB,fare,baguet,is_a,google/gemma-4-31b-it,"'Fare' is a general term for food or a range of food provided, and since a 'baguet' (baguette) is a type of food, it is a specific instance of fare."
SemEvalFood_SUB,fare,crabapple jelly,is_a,google/gemma-4-31b-it,"'Fare' is a synonym or broad term for 'food', and since 'crabapple jelly' is a type of food, it is also a type of fare."
SemEvalFood_SUB,"condiment (condiment, flavorer)",confiture,other_related,google/gemma-4-31b-it,"While jam (confiture) is a food product often used to add flavor, it is typically categorized as a preserve or a sweet spread rather than a condiment, which generally refers to savory seasonings or sauces used to enhance other foods."
SemEvalFood_SUB,course,gazpacho,other_related,google/gemma-4-31b-it,"Gazpacho is a specific type of dish that can be served as a course, but it is not a kind of course itself (a course is a slot in a meal sequence, whereas gazpacho is a food item)."
SemEvalFood_SUB,fodder,buckwheat,other_related,google/gemma-4-31b-it,"Buckwheat is a type of grain that can be used as fodder, but not all buckwheat is fodder, nor is fodder defined as being buckwheat."
SemEvalFood_SUB,"condiment (condiment, flavorer)",jelly,other_related,google/gemma-4-31b-it,"While jelly can be used as a condiment, not all jellies are condiments (e.g., dessert jellies), and not all condiments are jellies, making it a functional use rather than a strict taxonomic subsumption."
SemEvalFood_SUB,fare,sugar water,is_a,google/gemma-4-31b-it,"'Fare' is a general term for food or a range of food provided, and 'sugar water' is a specific type of food/drink."
SemEvalFood_SUB,spread,apple jelly,is_a,google/gemma-4-31b-it,"Apple jelly is a specific type of spread, as every instance of apple jelly functions as a spread."
SemEvalFood_SUB,fare,bannock,is_a,google/gemma-4-31b-it,"'Fare' is a general term for a range of food or a particular type of diet, and since bannock is a type of food, it is a specific instance of fare."
SemEvalFood_SUB,liquor,cocktail,made_of,google/gemma-4-31b-it,"A cocktail is not a type of liquor, but rather a drink made using liquor as a primary ingredient."
SemEvalFood_SUB,dairy product,blue cheese dressing,made_of,google/gemma-4-31b-it,"Blue cheese dressing is not a type of dairy product, but rather a condiment that contains dairy products as an ingredient."
SemEvalFood_SUB,fodder,groats,other_related,google/gemma-4-31b-it,"Groats are a type of processed grain that can be used as fodder, but not all fodder consists of groats, and groats are primarily categorized as human food or grain."
SemEvalFood_SUB,spread,confiture,is_a,google/gemma-4-31b-it,"A 'confiture' (jam/preserve) is a specific type of 'spread', as every instance of confiture is by definition a spread."
SemEvalFood_SUB,dressing,taco sauce,other_related,google/gemma-4-31b-it,"Taco sauce is a type of sauce, and while dressings are also sauces, taco sauce is not a type of dressing."
SemEvalFood_SUB,liquor,bullshot,made_of,google/gemma-4-31b-it,"A bullshot is a cocktail made using beef bouillon and vodka, meaning liquor is an ingredient used to create the drink rather than a category it belongs to."
SemEvalFood_SUB,fare,white bread,is_a,google/gemma-4-31b-it,"'Fare' is a synonym for food or a range of food provided, and since white bread is a type of food, it is a kind of fare."
