dataset,source,parent,child,is_fp,type,model,justification
CellOntology_SUB,gt,vein endothelial cell,schlemms canal endothelial cell,,is_a,google/gemma-4-31b-it,"Schlemm's canal is a specialized venous-like drainage channel in the eye, and its endothelial cells are a specific subtype of vein endothelial cells."
CellOntology_SUB,gt,seromucus secreting cell,mucus secreting cell,,is_a_inverted,google/gemma-4-31b-it,"A seromucous secreting cell is a specific type of secretory cell that produces both serous and mucous secretions, whereas a mucus secreting cell produces only mucus; therefore, a seromucous cell is a specialized subtype of a mucus secreting cell."
CellOntology_SUB,gt,endo-epithelial cell,epithelial cell of alimentary canal,,is_a,google/gemma-4-31b-it,An epithelial cell of the alimentary canal is a specific type of endo-epithelial cell (epithelium lining the internal organs derived from the endoderm).
CellOntology_SUB,gt,endo-epithelial cell,respiratory tract epithelial cell,,is_a,google/gemma-4-31b-it,"A respiratory tract epithelial cell is a specific type of endo-epithelial cell (epithelial cells lining internal organs/cavities), meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,vascular leptomeningeal cell,vlmc nn vascular leptomeningeal cell mmus,,synonym,google/gemma-4-31b-it,"The term 'vlmc nn vascular leptomeningeal cell mmus' is a species-specific identifier (Mus musculus) for the general cell type 'vascular leptomeningeal cell', and both share the exact same set of parent classes in the taxonomy, indicating they denote the same biological concept in different naming c"
CellOntology_SUB,gt,ecto-epithelial cell,neurecto-epithelial cell,,is_a,google/gemma-4-31b-it,"A neurecto-epithelial cell is a specific type of ecto-epithelial cell specialized for the development of the nervous system, meaning every neurecto-epithelial cell is by definition an ecto-epithelial cell."
CellOntology_SUB,gt,sensory receptor cell,sensory epithelial cell,,is_a,google/gemma-4-31b-it,A sensory epithelial cell is a specific type of sensory receptor cell that is derived from or located within an epithelium.
CellOntology_SUB,gt,sensory receptor cell,chemoreceptor cell,,is_a,google/gemma-4-31b-it,A chemoreceptor cell is a specific type of sensory receptor cell that responds to chemical stimuli.
CellOntology_SUB,gt,brain macroglial cell,astrocyte of the forebrain,,is_a,google/gemma-4-31b-it,"An astrocyte of the forebrain is a specific type of brain macroglial cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,epithelial cell of alimentary canal,epithelial cell of stomach,,is_a,google/gemma-4-31b-it,"Every epithelial cell of the stomach is, by definition, a type of epithelial cell found within the alimentary canal."
CellOntology_SUB,gt,sensory epithelial cell,olfactory epithelial cell,,is_a,google/gemma-4-31b-it,"An olfactory epithelial cell is a specific type of sensory epithelial cell, as it is an epithelial cell specialized for the sensory function of olfaction."
CellOntology_SUB,gt,sensory epithelial cell,auditory epithelial cell,,is_a,google/gemma-4-31b-it,"An auditory epithelial cell is a specific type of sensory epithelial cell specialized for hearing, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,macroglial cell,astrocyte,,is_a,google/gemma-4-31b-it,"An astrocyte is a specific type of macroglial cell, meaning every astrocyte is by definition a macroglial cell."
CellOntology_SUB,gt,macroglial cell,brain macroglial cell,,is_a,google/gemma-4-31b-it,"A 'brain macroglial cell' is a specific type of 'macroglial cell' that is located in the brain, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,mesenchymal stem cell of adipose tissue,mesenchymal stem cell of orbital adipose tissue,,is_a,google/gemma-4-31b-it,"A mesenchymal stem cell of orbital adipose tissue is a specific type of mesenchymal stem cell of adipose tissue, distinguished by its anatomical origin."
CellOntology_SUB,gt,b cell,b cell cd19-positive,,is_a,google/gemma-4-31b-it,"A 'b cell cd19-positive' is a specific subtype of 'b cell' defined by the expression of the CD19 marker, meaning every CD19-positive B cell is necessarily a B cell."
CellOntology_SUB,gt,mature alpha-beta t cell,mucosal-associated invariant t cell,,is_a,google/gemma-4-31b-it,"Mucosal-associated invariant T (MAIT) cells are a specific subtype of mature T cells that express a semi-invariant T-cell receptor (TCR) of the alpha-beta class, meaning every MAIT cell is by definition a mature alpha-beta T cell."
CellOntology_SUB,gt,afferent neuron,sensory neuron,,is_a,google/gemma-4-31b-it,"In neuroanatomy, sensory neurons are the primary type of afferent neurons (neurons that carry signals toward the central nervous system), meaning every sensory neuron is by definition an afferent neuron."
CellOntology_SUB,gt,electrically responsive cell,neuron,,is_a,google/gemma-4-31b-it,"Every neuron is, by definition, a cell that responds to electrical stimuli, making it a specific type of electrically responsive cell."
CellOntology_SUB,gt,male germ cell,spermatid,,is_a,google/gemma-4-31b-it,"A spermatid is a specific type of male germ cell (specifically a haploid cell resulting from meiosis), meaning every spermatid is by definition a male germ cell."
CellOntology_SUB,gt,neural cell,neuron associated cell,,is_a,google/gemma-4-31b-it,"A 'neuron associated cell' (such as a glial cell) is a specific type of 'neural cell', meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,neural cell,neuron,,is_a,google/gemma-4-31b-it,"Every neuron is, by definition, a type of neural cell."
CellOntology_SUB,gt,neural cell,olfactory epithelial cell,,is_a,google/gemma-4-31b-it,"Olfactory epithelial cells are specialized sensory neurons (or their precursors/supporting cells) that function as the primary neural interface for smell, making them a specific type of neural cell."
CellOntology_SUB,gt,neural cell,retinal cell,,is_a,google/gemma-4-31b-it,"A retinal cell is a specialized type of neural cell found in the retina, meaning every retinal cell is by definition a neural cell."
CellOntology_SUB,gt,neural cell,mesothelial fibroblast of the leptomeninx,,located_in,google/gemma-4-31b-it,"A mesothelial fibroblast is a type of connective tissue cell found within the leptomeninx (a membrane of the nervous system), but it is not a neural cell (neuron or glia) by lineage or function."
CellOntology_SUB,gt,neuron associated cell,glial cell,,is_a,google/gemma-4-31b-it,"A glial cell is a type of cell associated with neurons, and the provided taxonomy lists other glial subtypes (like astrocytes) under 'neuron associated cell', confirming that 'neuron associated cell' serves as a broader category for glial cells."
CellOntology_SUB,gt,auditory epithelial cell,strial basal cell,,is_a,google/gemma-4-31b-it,"A strial basal cell is a specific type of epithelial cell found within the auditory system (specifically the stria vascularis), making it a subtype of auditory epithelial cell."
CellOntology_SUB,gt,endothelial cell of vascular tree,blood vessel endothelial cell,,is_a,google/gemma-4-31b-it,"A blood vessel endothelial cell is a specific type of endothelial cell found within the vascular tree, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,lymphocyte,t cell,,is_a,google/gemma-4-31b-it,"A T cell is a specific type of lymphocyte, meaning every T cell is by definition a lymphocyte."
CellOntology_SUB,gt,lymphocyte,lymphocyte of b lineage,,is_a,google/gemma-4-31b-it,"A 'lymphocyte of b lineage' is a specific type of 'lymphocyte', meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,blood vessel endothelial cell,vein endothelial cell,,is_a,google/gemma-4-31b-it,"A vein endothelial cell is a specific type of blood vessel endothelial cell, as veins are a category of blood vessels."
CellOntology_SUB,gt,b cell cd19-positive,mature b cell,,is_a,google/gemma-4-31b-it,"Every mature B cell is by definition a B cell that expresses CD19, making it a specific subtype of the CD19-positive B cell population."
CellOntology_SUB,gt,astrocyte of the forebrain,astrocyte of the cerebral cortex,,is_a,google/gemma-4-31b-it,"Every astrocyte of the cerebral cortex is, by definition, an astrocyte of the forebrain, as the cerebral cortex is a part of the forebrain."
CellOntology_SUB,gt,neural crest derived neuron,enteric neuron,,is_a,google/gemma-4-31b-it,"Every enteric neuron is a type of neuron that originates from the neural crest, meaning it is a specific subclass of neural crest derived neurons."
CellOntology_SUB,gt,endothelial cell,endothelial cell of vascular tree,,is_a,google/gemma-4-31b-it,"An endothelial cell of the vascular tree is a specific type of endothelial cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,wide field retinal amacrine cell,wf4 amacrine cell,,is_a,google/gemma-4-31b-it,The 'wf4 amacrine cell' is a specific subtype of the 'wide field retinal amacrine cell' based on its classification and the shared parentage of both terms under 'amacrine cell'.
CellOntology_SUB,gt,epithelial cell of upper respiratory tract,olfactory epithelial cell,,is_a,google/gemma-4-31b-it,"An olfactory epithelial cell is a specific type of epithelial cell found within the upper respiratory tract, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,t cell,alpha-beta t cell,,is_a,google/gemma-4-31b-it,"An alpha-beta T cell is a specific subtype of T cell characterized by the expression of an $\alpha\beta$ T-cell receptor, meaning every alpha-beta T cell is necessarily a T cell."
CellOntology_SUB,gt,t cell,mature t cell,,is_a,google/gemma-4-31b-it,"A mature T cell is a specific type of T cell that has completed its development, meaning every instance of a mature T cell is necessarily an instance of a T cell."
CellOntology_SUB,gt,gamete-nursing cell,germline-derived nurse cell,,is_a,google/gemma-4-31b-it,"A germline-derived nurse cell is a specific type of gamete-nursing cell that originates from the germline, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,amacrine cell,wide field retinal amacrine cell,,is_a,google/gemma-4-31b-it,A wide field retinal amacrine cell is a specific subtype of amacrine cell characterized by its extensive dendritic field.
CellOntology_SUB,gt,precursor cell,stem cell,,is_a,google/gemma-4-31b-it,A stem cell is a specific type of precursor cell characterized by its capacity for self-renewal and potency.
CellOntology_SUB,gt,multi fate stem cell,mesenchymal stem cell,,is_a,google/gemma-4-31b-it,A mesenchymal stem cell is a specific type of multipotent (multi-fate) stem cell capable of differentiating into various cell types of the connective tissue.
CellOntology_SUB,gt,multi fate stem cell,stem cell of gastric gland,,is_a,google/gemma-4-31b-it,A stem cell of the gastric gland is a specific type of multi-fate stem cell because it possesses the capacity to differentiate into multiple distinct cell lineages within the gastric mucosa.
CellOntology_SUB,gt,mesothelial fibroblast,mesothelial fibroblast of the leptomeninx,,is_a,google/gemma-4-31b-it,"The term 'mesothelial fibroblast of the leptomeninx' describes a specific subtype of 'mesothelial fibroblast' defined by its anatomical location, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,germline-derived nurse cell,invertebrate nurse cell,,is_a,google/gemma-4-31b-it,"An invertebrate nurse cell is a specific type of nurse cell that is derived from the germline, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,eukaryotic cell,spermatid,,is_a,google/gemma-4-31b-it,"A spermatid is a specific type of haploid cell found in males, and since it is a cell with a nucleus and organelles, every spermatid is by definition a eukaryotic cell."
CellOntology_SUB,gt,eukaryotic cell,invertebrate nurse cell,,is_a,google/gemma-4-31b-it,An invertebrate nurse cell is a specialized type of eukaryotic cell found in the germline of various invertebrates.
CellOntology_SUB,gt,eukaryotic cell,epithelial cell,,is_a,google/gemma-4-31b-it,"An epithelial cell is a specific type of eukaryotic cell, meaning every instance of an epithelial cell is necessarily an instance of a eukaryotic cell."
CellOntology_SUB,gt,eukaryotic cell,endothelial cell,,is_a,google/gemma-4-31b-it,"An endothelial cell is a specific type of eukaryotic cell, meaning every instance of an endothelial cell is necessarily an instance of a eukaryotic cell."
CellOntology_SUB,gt,eukaryotic cell,sensory receptor cell,,is_a,google/gemma-4-31b-it,"A sensory receptor cell is a specialized type of eukaryotic cell, meaning every instance of a sensory receptor cell is necessarily an instance of a eukaryotic cell."
CellOntology_SUB,gt,eukaryotic cell,single nucleate cell,,is_a,google/gemma-4-31b-it,"A single nucleate cell is a specific type of eukaryotic cell (as eukaryotes are defined by having a nucleus), meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,eukaryotic cell,leukocyte,,is_a,google/gemma-4-31b-it,"A leukocyte is a type of white blood cell, and since all white blood cells are eukaryotic cells, every instance of a leukocyte is necessarily an instance of a eukaryotic cell."
CellOntology_SUB,gt,eukaryotic cell,neural cell,,is_a,google/gemma-4-31b-it,"Every neural cell is a type of eukaryotic cell, as it possesses a nucleus and membrane-bound organelles characteristic of eukaryotes."
CellOntology_SUB,gt,eukaryotic cell,connective tissue cell,,is_a,google/gemma-4-31b-it,"A connective tissue cell is a specific type of eukaryotic cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,professional antigen presenting cell,mature b cell,,is_a,google/gemma-4-31b-it,"A mature B cell is a specific type of professional antigen-presenting cell, as it possesses the necessary machinery (MHC class II) to present antigens to T cells."
CellOntology_SUB,gt,mature b cell,be cell,,is_a_inverted,google/gemma-4-31b-it,"The term 'be cell' (B-1 cell) is a specific subtype of 'mature b cell', meaning the stated parent ('be cell') is actually the child and the stated child ('mature b cell') is the parent."
CellOntology_SUB,gt,columnarcuboidal epithelial cell,neurecto-epithelial cell,,is_a,google/gemma-4-31b-it,A neurecto-epithelial cell is a specific type of epithelial cell characterized by a columnar or cuboidal morphology.
CellOntology_SUB,gt,hematopoietic cell,leukocyte,,is_a,google/gemma-4-31b-it,"Every leukocyte (white blood cell) is by definition a hematopoietic cell, as leukocytes are the cells derived from the hematopoietic stem cell lineage."
CellOntology_SUB,gt,alpha-beta t cell,mature alpha-beta t cell,,is_a,google/gemma-4-31b-it,"A mature alpha-beta T cell is a specific subtype of alpha-beta T cell characterized by its developmental stage, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,nucleate cell,single nucleate cell,,is_a,google/gemma-4-31b-it,"A 'single nucleate cell' is a specific type of 'nucleate cell' characterized by having exactly one nucleus, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,nucleate cell,leukocyte,,is_a,google/gemma-4-31b-it,"Every leukocyte (white blood cell) is a type of cell that possesses a nucleus, making it a specific instance of the broader category of nucleate cells."
CellOntology_SUB,gt,cell,germ line cell,,is_a,google/gemma-4-31b-it,"A germ line cell is a specific type of cell, meaning every instance of a germ line cell is necessarily an instance of a cell."
CellOntology_SUB,gt,cell,secretory cell,,is_a,google/gemma-4-31b-it,"A secretory cell is a specialized type of cell defined by its function of secretion, meaning every secretory cell is necessarily a cell."
CellOntology_SUB,gt,cell,electrically active cell,,is_a,google/gemma-4-31b-it,An electrically active cell is a specific type of cell characterized by its ability to maintain and change its membrane potential.
CellOntology_SUB,gt,cell,motile cell,,is_a,google/gemma-4-31b-it,"A motile cell is a specific type of cell characterized by the ability to move, meaning every motile cell is necessarily a cell."
CellOntology_SUB,gt,cell,eukaryotic cell,,is_a,google/gemma-4-31b-it,"Every eukaryotic cell is, by definition, a type of cell."
CellOntology_SUB,gt,cell,polyploid cell,,is_a,google/gemma-4-31b-it,A polyploid cell is a specific type of cell characterized by having more than two complete sets of chromosomes.
CellOntology_SUB,gt,cell,hematopoietic cell,,is_a,google/gemma-4-31b-it,"A hematopoietic cell is a specific type of cell involved in the formation of blood components, meaning every hematopoietic cell is necessarily a cell."
CellOntology_SUB,gt,cell,nucleate cell,,is_a,google/gemma-4-31b-it,"A nucleate cell is defined as a cell that possesses a nucleus, meaning every nucleate cell is necessarily a cell."
CellOntology_SUB,gt,cell,precursor cell,,is_a,google/gemma-4-31b-it,"A precursor cell is a specific type of cell that serves as a progenitor for other cell types, meaning every precursor cell is necessarily a cell."
CellOntology_SUB,gt,cell,gamete-nursing cell,,is_a,google/gemma-4-31b-it,A gamete-nursing cell is a specialized type of cell.
CellOntology_SUB,gt,lymphocyte of b lineage,b cell,,synonym,google/gemma-4-31b-it,"A 'b cell' is the common name for a 'lymphocyte of b lineage', and the provided taxonomy lists them as sharing nearly identical parentage and containing each other as subtypes, indicating they denote the same biological concept."
CellOntology_SUB,gt,lymphocyte of b lineage,lymphocyte of b lineage cd19-positive,,is_a,google/gemma-4-31b-it,"A 'lymphocyte of b lineage cd19-positive' is a specific subtype of 'lymphocyte of b lineage' defined by the expression of the CD19 marker, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,germ cell,male germ cell,,is_a,google/gemma-4-31b-it,"Every male germ cell is, by definition, a type of germ cell."
CellOntology_SUB,gt,autonomic neuron,enteric neuron,,is_a,google/gemma-4-31b-it,"An enteric neuron is a specific type of autonomic neuron (specifically part of the enteric nervous system, which is a division of the autonomic nervous system), meaning every enteric neuron is by definition an autonomic neuron."
CellOntology_SUB,gt,autonomic neuron,sympathetic neuron,,is_a,google/gemma-4-31b-it,"Every sympathetic neuron is, by definition, a type of autonomic neuron."
CellOntology_SUB,gt,motile cell,leukocyte,,is_a,google/gemma-4-31b-it,"Every leukocyte (white blood cell) is by definition a cell capable of motility, making it a specific type of motile cell."
CellOntology_SUB,gt,retinal cell,amacrine cell,,is_a,google/gemma-4-31b-it,"An amacrine cell is a specific type of cell found in the retina, meaning every amacrine cell is by definition a retinal cell."
CellOntology_SUB,gt,astrocyte,astrocyte of the forebrain,,is_a,google/gemma-4-31b-it,"An 'astrocyte of the forebrain' is a specific type of 'astrocyte' defined by its location, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,epithelial cell of stomach,stem cell of gastric gland,,is_a,google/gemma-4-31b-it,"A stem cell of the gastric gland is a specific type of epithelial cell found in the stomach, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,mature t cell,mature alpha-beta t cell,,is_a,google/gemma-4-31b-it,"Every mature alpha-beta T cell is, by definition, a type of mature T cell, making this a proper subsumption relation."
CellOntology_SUB,gt,epithelial cell,duct epithelial cell,,is_a,google/gemma-4-31b-it,"A duct epithelial cell is a specific type of epithelial cell that lines the ducts of glands or organs, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,epithelial cell,columnarcuboidal epithelial cell,,is_a,google/gemma-4-31b-it,"A columnarcuboidal epithelial cell is a specific morphological subtype of epithelial cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,epithelial cell,sensory epithelial cell,,is_a,google/gemma-4-31b-it,"A sensory epithelial cell is a specialized type of epithelial cell that possesses sensory capabilities, meaning every sensory epithelial cell is necessarily an epithelial cell."
CellOntology_SUB,gt,epithelial cell,endo-epithelial cell,,is_a,google/gemma-4-31b-it,"An endo-epithelial cell is a specific type of epithelial cell (specifically those derived from the endoderm or lining internal organs), meaning every endo-epithelial cell is by definition an epithelial cell."
CellOntology_SUB,gt,epithelial cell,ecto-epithelial cell,,is_a,google/gemma-4-31b-it,"An ecto-epithelial cell is a specific type of epithelial cell derived from the ectoderm, meaning every ecto-epithelial cell is necessarily an epithelial cell."
CellOntology_SUB,gt,epithelial cell,secretory epithelial cell,,is_a,google/gemma-4-31b-it,A secretory epithelial cell is a specific type of epithelial cell that possesses the additional functional characteristic of secretion.
CellOntology_SUB,gt,stem cell,multi fate stem cell,,is_a,google/gemma-4-31b-it,A multi-fate stem cell is a specific type of stem cell characterized by its ability to differentiate into multiple cell lineages.
CellOntology_SUB,gt,sympathetic neuron,superior cervical ganglion thnpy neuron,,is_a,google/gemma-4-31b-it,A superior cervical ganglion thnpy neuron is a specific type of sympathetic neuron located within the superior cervical ganglion.
CellOntology_SUB,gt,leukocyte,professional antigen presenting cell,,is_a,google/gemma-4-31b-it,"Professional antigen presenting cells (such as dendritic cells, macrophages, and B cells) are a specialized subset of leukocytes."
CellOntology_SUB,gt,leukocyte,mononuclear leukocyte,,is_a,google/gemma-4-31b-it,"A mononuclear leukocyte is a specific type of leukocyte characterized by having a single, non-lobed nucleus."
CellOntology_SUB,gt,be cell,be1 cell,,is_a,google/gemma-4-31b-it,"A 'be1 cell' is a specific subtype of 'be cell' (both being specialized B cells), meaning every be1 cell is necessarily a be cell."
CellOntology_SUB,gt,secretory cell,seromucus secreting cell,,is_a,google/gemma-4-31b-it,A seromucus secreting cell is a specific type of secretory cell that secretes both serous and mucous products.
CellOntology_SUB,gt,secretory cell,steroid hormone secreting cell,,is_a,google/gemma-4-31b-it,"A steroid hormone secreting cell is a specific type of secretory cell, as it performs the general function of secretion but specializes in the production of steroid hormones."
CellOntology_SUB,gt,secretory cell,secretory epithelial cell,,is_a,google/gemma-4-31b-it,"A secretory epithelial cell is a specific type of secretory cell that also possesses the characteristics of an epithelial cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,interneuron,amacrine cell,,is_a,google/gemma-4-31b-it,"An amacrine cell is a specific type of interneuron found in the retina, meaning every amacrine cell is by definition an interneuron."
CellOntology_SUB,gt,respiratory tract epithelial cell,epithelial cell of upper respiratory tract,,is_a,google/gemma-4-31b-it,"An epithelial cell of the upper respiratory tract is a specific type of respiratory tract epithelial cell, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,peripheral sensory neuron,intrinsic primary afferent neuron of myenteric plexus,,is_a,google/gemma-4-31b-it,"An intrinsic primary afferent neuron (IPAN) of the myenteric plexus is a specific type of sensory neuron located in the peripheral nervous system (specifically the enteric nervous system), meaning every IPAN is a peripheral sensory neuron."
CellOntology_SUB,gt,astrocyte of the cerebral cortex,interlaminar astrocyte,,is_a,google/gemma-4-31b-it,"An interlaminar astrocyte is a specific subtype of astrocyte found within the layers of the cerebral cortex, meaning every interlaminar astrocyte is by definition an astrocyte of the cerebral cortex."
CellOntology_SUB,gt,mesothelial fibroblast of the leptomeninx,vascular leptomeningeal cell,,is_a,google/gemma-4-31b-it,"The 'vascular leptomeningeal cell' is a specialized subtype of the 'mesothelial fibroblast of the leptomeninx', as it shares the same lineage and general characteristics but is specifically associated with the vasculature."
CellOntology_SUB,gt,electrically signaling cell,neuron,,is_a,google/gemma-4-31b-it,"Every neuron is, by definition, a cell that signals using electrical impulses, making it a specific type of electrically signaling cell."
CellOntology_SUB,gt,connective tissue cell,mesenchymal stem cell,,is_a,google/gemma-4-31b-it,Mesenchymal stem cells are a specific type of multipotent cell that belongs to the broader category of connective tissue cells.
CellOntology_SUB,gt,connective tissue cell,stromal cell,,is_a,google/gemma-4-31b-it,"Stromal cells are the structural cells of the stroma, which is composed of connective tissue, making every stromal cell a type of connective tissue cell."
CellOntology_SUB,gt,fibroblast,mesothelial fibroblast,,is_a,google/gemma-4-31b-it,"A mesothelial fibroblast is a specific subtype of fibroblast found in the mesothelium, meaning every mesothelial fibroblast is by definition a fibroblast."
CellOntology_SUB,gt,steroid hormone secreting cell,androgen secreting cell,,is_a,google/gemma-4-31b-it,"An androgen secreting cell is a specific type of steroid hormone secreting cell, as androgens are a subclass of steroid hormones."
CellOntology_SUB,gt,mononuclear leukocyte,lymphocyte,,is_a,google/gemma-4-31b-it,"A lymphocyte is a specific type of mononuclear leukocyte (a leukocyte with a single, non-lobed nucleus), meaning every lymphocyte is by definition a mononuclear leukocyte."
CellOntology_SUB,gt,chemoreceptor cell,olfactory epithelial cell,,is_a,google/gemma-4-31b-it,An olfactory epithelial cell (specifically the olfactory sensory neuron) is a specialized type of chemoreceptor cell used to detect odorants.
CellOntology_SUB,gt,glial cell,macroglial cell,,is_a,google/gemma-4-31b-it,"A macroglial cell is a specific type of glial cell (distinguished from microglia), meaning every macroglial cell is by definition a glial cell."
CellOntology_SUB,gt,glial cell,cerebral cortex glial cell,,is_a,google/gemma-4-31b-it,"A 'cerebral cortex glial cell' is a specific type of 'glial cell' that is located in the cerebral cortex, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,electrically active cell,electrically responsive cell,,is_a,google/gemma-4-31b-it,"A cell that is electrically responsive is, by definition, a cell that is electrically active, as responsiveness to electrical stimuli is a specific form of electrical activity."
CellOntology_SUB,gt,electrically active cell,electrically signaling cell,,is_a,google/gemma-4-31b-it,"An electrically signaling cell is a specific type of electrically active cell, as signaling (the transmission of information) is a specialized function of the broader capacity to be electrically active."
CellOntology_SUB,gt,secretory epithelial cell,large mucus secreting cholangiocyte,,is_a,google/gemma-4-31b-it,"A large mucus secreting cholangiocyte is a specific type of epithelial cell that possesses secretory functions, making it a subset of secretory epithelial cells."
CellOntology_SUB,gt,cerebral cortex glial cell,astrocyte of the cerebral cortex,,is_a,google/gemma-4-31b-it,"An astrocyte of the cerebral cortex is a specific type of glial cell found within the cerebral cortex, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,neuron,neural crest derived neuron,,is_a,google/gemma-4-31b-it,"Every neural crest derived neuron is, by definition, a type of neuron."
CellOntology_SUB,gt,neuron,afferent neuron,,is_a,google/gemma-4-31b-it,"An afferent neuron is a specific type of neuron that carries sensory information toward the central nervous system, meaning every afferent neuron is necessarily a neuron."
CellOntology_SUB,gt,neuron,central nervous system neuron,,is_a,google/gemma-4-31b-it,"Every central nervous system neuron is, by definition, a type of neuron."
CellOntology_SUB,gt,neuron,peripheral nervous system neuron,,is_a,google/gemma-4-31b-it,"A peripheral nervous system neuron is a specific type of neuron, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,polyploid cell,invertebrate nurse cell,,is_a,google/gemma-4-31b-it,"An invertebrate nurse cell is a specific type of cell that undergoes endoreplication to become polyploid, meaning every invertebrate nurse cell is a polyploid cell."
CellOntology_SUB,gt,single nucleate cell,mononuclear leukocyte,,is_a,google/gemma-4-31b-it,"A mononuclear leukocyte is, by definition, a type of cell that possesses a single nucleus, meaning every instance of a mononuclear leukocyte is necessarily an instance of a single nucleate cell."
CellOntology_SUB,gt,stromal cell,fibroblast,,is_a,google/gemma-4-31b-it,"A fibroblast is a specific type of stromal cell found within connective tissues, meaning every fibroblast is by definition a stromal cell."
