scope,type,count,total_fps,proportion,justification_1,justification_2,justification_3
LLMs4OL_OBI_SUB,unrelated,5,99,0.0505,"[LLMs4OL_OBI_SUB] material combination under continuant (continuant, independent continuant): A 'material combination' is a process or result of combining materials, whereas a 'continuant' is an entity that persists through time (like a device or container); therefore, a process is not a kind of persistent entity.","[LLMs4OL_OBI_SUB] anticoagulant-containing test tube under realizable entity: An 'anticoagulant-containing test tube' is a physical object (material entity/continuant), whereas a 'realizable entity' refers to an occurrence, process, or role that can be brought into existence, making the two conceptually distinct categories.","[LLMs4OL_OBI_SUB] data item under continuant (continuant, independent continuant): A 'data item' is an informational entity (occurrent or abstract), whereas a 'continuant' is an entity that persists through time (like a physical object or device), making the two conceptually distinct categories."
LLMs4OL_PO_SUB,is_a,46,80,0.575,"[LLMs4OL_PO_SUB] pulvinus under multi-tissue plant structure: A pulvinus is a specialized joint-like swelling (a specific type of multi-tissue plant structure) that allows for plant movement, meaning every pulvinus is a multi-tissue plant structure.","[LLMs4OL_PO_SUB] primordium under plant anatomical entity (plant anatomical entity, plant organ, plant structure): A primordium is a rudimentary organ or tissue mass in a developing plant, making it a specific type of plant anatomical entity.","[LLMs4OL_PO_SUB] abscission zone under cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure): An abscission zone is a specific type of cardinal organ part (a specialized region of a plant organ that facilitates shedding), meaning every abscission zone is a kind of cardinal organ part."
LLMs4OL_PO_SUB,part_of,29,80,0.3625,"[LLMs4OL_PO_SUB] terminal strobilus bud under shoot axis apex: A terminal strobilus bud is a specialized structure located at the tip (apex) of a shoot axis, making it a component or region of that apex rather than a type of apex.","[LLMs4OL_PO_SUB] plant ovary wall middle layer under multi-tissue plant structure: The 'plant ovary wall middle layer' is a specific anatomical region or component of the ovary wall, whereas a 'multi-tissue plant structure' (like an organ) is a higher-level assembly that contains such layers.","[LLMs4OL_PO_SUB] inflorescence axis node under multi-tissue plant structure: An inflorescence axis node is a specific anatomical region (a node) within a plant structure, and while it consists of multiple tissues, it is a component part of the overall multi-tissue plant architecture rather than a taxonomic subtype of it."
LLMs4OL_PO_SUB,has_part,1,80,0.0125,"[LLMs4OL_PO_SUB] multi-tissue plant structure under portion of plant tissue: A 'multi-tissue plant structure' (like an organ) is composed of various tissues, meaning it is a complex entity that contains 'portions of plant tissue' as its building blocks.",,
LLMs4OL_PO_SUB,made_of,1,80,0.0125,"[LLMs4OL_PO_SUB] root parenchyma under parenchyma cell: 'Root parenchyma' refers to a tissue (a collection of cells) located in the root, whereas 'parenchyma cell' refers to the individual cellular unit that constitutes such tissue.",,
LLMs4OL_PO_SUB,located_in,1,80,0.0125,"[LLMs4OL_PO_SUB] axil under multi-tissue plant structure: An axil is the angle or region between the upper side of a leaf (or stem) and the supporting stem, making it a specific location or region within the plant's structure rather than a type of multi-tissue structure itself.",,
LLMs4OL_PO_SUB,derives_from,1,80,0.0125,"[LLMs4OL_PO_SUB] plant callus under portion of meristem tissue: A plant callus is an unorganized mass of parenchyma cells that often develops from meristematic activity or dedifferentiation, but it is not a type of meristem tissue itself.",,
LLMs4OL_PO_SUB,unrelated,1,80,0.0125,"[LLMs4OL_PO_SUB] se05 five nodes or internodes visible stage under root development stage: The 'se05 five nodes or internodes visible stage' refers to stem elongation, which is a distinct developmental process from 'root development stage', making them separate stages of plant growth rather than one being a type of the other.",,
LLMs4OL_SchemaOrg_SUB,is_a,69,91,0.7582,"[LLMs4OL_SchemaOrg_SUB] ampstory under socialmediaposting: An AMPstory (Accelerated Mobile Pages story) is a specific format of content designed for distribution as a social media post, meaning every AMPstory is a type of social media posting.","[LLMs4OL_SchemaOrg_SUB] clip under creativework: A clip is a short excerpt or a specific type of audiovisual work, making it a specialized kind of creative work.",[LLMs4OL_SchemaOrg_SUB] periodical under creativework: A periodical (such as a magazine or journal) is a specific type of creative work.
LLMs4OL_SchemaOrg_SUB,part_of,3,91,0.033,"[LLMs4OL_SchemaOrg_SUB] howtostep under article: A 'howtostep' (a single step in a how-to process) is a component part of a larger instructional article, not a type of article itself.","[LLMs4OL_SchemaOrg_SUB] howtostep under techarticle: A 'howtostep' (a single step in a how-to guide) is a constituent component of a 'techarticle' (the overall technical document), not a type of technical article itself.","[LLMs4OL_SchemaOrg_SUB] comicseries under collection: A comic series is not a type of collection, but rather a series of issues that can be gathered into a collection (such as a trade paperback or omnibus)."
LLMs4OL_SchemaOrg_SUB,attribute_of,1,91,0.011,"[LLMs4OL_SchemaOrg_SUB] governmentbenefitstype under intangible: A 'governmentbenefitstype' is a category or classification (an enumeration) used to describe a benefit, and while it is conceptually non-physical, it is not a ""kind of"" intangible entity in a taxonomic sense, but rather a metadata attribute used to describe one.",,
LLMs4OL_SchemaOrg_SUB,located_in,4,91,0.044,"[LLMs4OL_SchemaOrg_SUB] governmentbuilding under organization: A government building is a physical structure used by an organization, not a type of organization itself.","[LLMs4OL_SchemaOrg_SUB] medicalorganization (medicalorganization, researchorganization) under place: A medical organization is an entity (organization) that may operate out of a physical location, but it is not a type of place itself.","[LLMs4OL_SchemaOrg_SUB] busorcoach under place: A bus or coach is a vehicle that can be located in a place, but it is not a type of place, nor is it a component of one."
LLMs4OL_SchemaOrg_SUB,other_related,13,91,0.1429,"[LLMs4OL_SchemaOrg_SUB] entertainmentbusiness under service: An entertainment business is an organization that provides services, but it is not itself a type of service (which is an intangible offering).","[LLMs4OL_SchemaOrg_SUB] busorcoach under localbusiness: A bus or coach is a vehicle (a physical object), whereas a local business is a commercial entity; a bus company is a business, but the vehicle itself is not.","[LLMs4OL_SchemaOrg_SUB] medicalorganization (medicalorganization, researchorganization) under localbusiness: While many medical organizations are local businesses (like a private clinic), not all medical organizations (such as a national health ministry or a global research institute) are local businesses."
LLMs4OL_SchemaOrg_SUB,unrelated,1,91,0.011,"[LLMs4OL_SchemaOrg_SUB] busorcoach under organization: A bus or coach is a vehicle (a physical object), whereas an organization is a social entity; while a bus company is an organization, the vehicle itself is not.",,
SemEvalFood_SUB,is_a,40,70,0.5714,"[SemEvalFood_SUB] groats under fare: 'Fare' is a general term for food or a range of food provided, and since 'groats' are a type of food, every instance of groats is a type of fare.","[SemEvalFood_SUB] mayonnaise under spread: Mayonnaise is a type of spread, as it is a food product specifically used for spreading on bread or other surfaces.","[SemEvalFood_SUB] hard candy under fare: 'Fare' is a formal or literary synonym for food, and since hard candy is a type of food, it is also a type of fare."
SemEvalFood_SUB,part_of,3,70,0.0429,"[SemEvalFood_SUB] fennel seed under herb: A fennel seed is a component part of the fennel plant (which is the herb), not a type of herb itself.","[SemEvalFood_SUB] crudites under antipasto: Crudités (raw vegetables) are often served as a component of an antipasto platter, but they are not a type of antipasto itself.","[SemEvalFood_SUB] caraway seed under herb: A caraway seed is a part of the caraway plant (which is an herb), but a seed itself is not a type of herb."
SemEvalFood_SUB,made_of,4,70,0.0571,"[SemEvalFood_SUB] cocktail under liquor: A cocktail is not a type of liquor, but rather a drink made using liquor as a primary ingredient.","[SemEvalFood_SUB] blue cheese dressing under dairy product: Blue cheese dressing is not a type of dairy product, but rather a condiment that contains dairy products as an ingredient.","[SemEvalFood_SUB] bullshot under liquor: A bullshot is a cocktail made using beef bouillon and vodka, meaning liquor is an ingredient used to create the drink rather than a category it belongs to."
SemEvalFood_SUB,other_related,19,70,0.2714,"[SemEvalFood_SUB] sugar water under dessert (dessert, sweet): Sugar water is a liquid mixture that may be used as an ingredient or a simple sweet treat, but it is not a type of dessert in the way that cake or jelly is.","[SemEvalFood_SUB] corn under fodder: Corn is a type of grain that can be used as fodder, but not all corn is fodder (as it is also human food), and not all fodder is corn.","[SemEvalFood_SUB] gazpacho under antipasto: Gazpacho is a type of soup that can be served as an antipasto (appetizer), but not every gazpacho is an antipasto, nor is every antipasto a gazpacho."
SemEvalFood_SUB,unrelated,4,70,0.0571,"[SemEvalFood_SUB] gazpacho under fodder: Gazpacho is a cold soup for human consumption, whereas fodder is bulk food specifically for livestock, making them distinct categories of food.",[SemEvalFood_SUB] gin and it under liquor: The term 'gin and it' appears to be a corrupted or noisy string (likely a parsing error for 'gin and its [something]') and does not represent a coherent concept that is a type of liquor.,"[SemEvalFood_SUB] ravigote under fodder: A ravigote is a type of sauce or condiment for human consumption, whereas fodder is bulk food (like hay or alfalfa) specifically for livestock, making the two concepts unrelated."
WordNetFood_SUB,is_a,24,50,0.48,"[WordNetFood_SUB] tart under dish: A tart is a specific kind of prepared food item, and therefore every tart is a type of dish.","[WordNetFood_SUB] gingersnap under dessert: A gingersnap is a type of cookie, and since cookies are a kind of dessert, every gingersnap is also a dessert.","[WordNetFood_SUB] lobster tart under dish: A lobster tart is a specific type of prepared food item, and every lobster tart is by definition a dish."
WordNetFood_SUB,part_of,3,50,0.06,"[WordNetFood_SUB] bun under dish: A bun is a type of bread or baked good that can be used as a component of a dish (like a burger or sandwich), but it is not a type of ""dish"" itself.","[WordNetFood_SUB] condiment under dish: A condiment is not a type of dish, but rather a substance used to enhance the flavor of a dish or served as a component of one.","[WordNetFood_SUB] anchovy sauce under dish: An anchovy sauce is an ingredient or condiment used to prepare or accompany a dish, rather than being a type of dish itself."
WordNetFood_SUB,made_of,4,50,0.08,"[WordNetFood_SUB] dough under starches: Dough is not a type of starch, but rather a mixture primarily composed of starches (like flour).","[WordNetFood_SUB] scampi under shellfish: Scampi is a dish made from shellfish (specifically langoustines or prawns), meaning the shellfish is an ingredient of the dish.","[WordNetFood_SUB] clam chowder under seafood: Clam chowder is not a type of seafood, but rather a dish made using seafood as a primary ingredient."
WordNetFood_SUB,other_related,18,50,0.36,"[WordNetFood_SUB] chocolate under dessert: While chocolate is often served as a dessert, it is a food substance/ingredient that can be used in many non-dessert contexts (e.g., savory moles), meaning not every instance of chocolate is a dessert.","[WordNetFood_SUB] elderberry under berry: While elderberries are commonly called berries in a culinary sense, botanically they are drupes and not true berries, making the relationship a common misclassification or a loose association rather than a strict taxonomic subsumption.","[WordNetFood_SUB] bun under snack food: A bun is a type of bread or baked good that can be used to make a snack, but it is not inherently a kind of snack food itself."
WordNetFood_SUB,unrelated,1,50,0.02,"[WordNetFood_SUB] diet (diet, fare, food, foodstuff, ingredient, meal, nutriment) under course: A diet (a specific regime of food) is not a type of course (a specific stage of a meal), nor is a course a type of diet; they are distinct concepts within the domain of food.",,
